AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
住,,光華二街１０８巷００１６之２號三樓#光華二街１０８巷１６之２號三樓,華廈(10層含以下有電梯),,74.33%,O,,,112/10/03,有,,三層/五層,,32,0,1,1,1,24.820037270036572,120.97730657028774,無,,總價/總面積,陽台外推;其他增建;,"350,228",bt_06.png,住家用,1,16,,26.41,ibacho1If/yj64iwyhwU3/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,250,000",1,O01,Biz,2,3房2廳2衛
商,,埔頂三路００３８號二十二樓之８#埔頂三路３８號二十二樓之８,住宅大樓(11層含以上有電梯),,42.51%,O,,,112/10/01,有,57.84%,二十二層/二十九層,-1,,1,1,1,1,24.790343317661282,121.01285720683475,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"242,737",bt_05.png,住家用,1,95,,32.96,eb5rkvOi2BRKJ4TlR6djA/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,000,000",1,O01,Biz,2,2房2廳1衛
其他,,明湖路０７５１號地下三層之４３#明湖路７５１號地下三層之４３,華廈(10層含以下有電梯),,64.59%,O,,,112/10/02,有,,地下三層/四層,,19,2,1,1,0,24.77616553725652,120.96830564222645,有,,總價/總面積,,"271,878",bt_06.png,住家用,1,118,,15.26,ZCgjjCCQ3felKdN3JCgu9PPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"4,150,000",1,O01,Biz,2,1房1廳1衛
住,,延平路三段５１５巷００２７號#延平路三段５１５巷２７號,透天厝,,,O,,,112/10/01,無,,全/四層,,28,3,3,1,0,24.838812010223393,120.93195892443121,無,,總價/總面積,"增建: 平台外推,鐵皮屋頂增建",,bt_02.png,住家用,1,15,,60.74,BT9+pL4/WRCfpwfqCK+EKvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"13,550,000",1,O01,Biz,2,5房2廳4衛
住,,光復路一段０８９巷０１２３之７號７樓#光復路一段８９巷１２３之７號７樓,住宅大樓(11層含以上有電梯),,50.01%,O,,,112/10/03,有,,七層/十四層,,25,4,3,1,1,24.778577391903003,121.0254054226018,有,,總價/總面積,,"315,488",bt_05.png,住家用,1,76,,52.62,b968gFyYLNZVWmW97/PxC/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,600,000",1,O01,Biz,2,3房2廳2衛
,丙種建築用地,至善街０３３巷００１５號三樓#至善街３３巷１５號三樓,公寓(5樓含以下無電梯),,70.92%,O,,,112/10/13,無,,三層/四層,,26,5,2,1,0,24.755665607330574,120.9503750815197,有,,總價/總面積,陽台外推;含租約;,"115,550",bt_01.png,住家用,1,76,,9.52,ltK7lZhsK4PmNvyy0/NmOvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"1,100,000",1,O01,Biz,2,1房1廳1衛
,丙種建築用地,至善街０３５巷００５０號地下室#至善街３５巷５０號地下室,公寓(5樓含以下無電梯),,60.56%,O,,,112/10/12,無,,地下一層/五層,,26,6,2,1,0,24.755096889870654,120.95065215361869,有,,總價/總面積,陽台外推;,"100,040",bt_01.png,住家用,1,55,,9.00,gw+tOMD+xH5siyUR/DvWVfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"900,000",1,O01,Biz,2,1房1衛
,丙種建築用地,明德路００３巷００４２號#明德路３巷４２號,透天厝,,,O,,,112/10/10,無,,全/四層,,22,7,5,2,0,24.755810605110213,120.95201633589282,無,,總價/總面積,陽台外推;頂樓加蓋;,,bt_02.png,住家用,1,41,,90.38,wDk6ZHYNinoj2PmDGI+DBfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"10,950,000",1,O01,Biz,2,15房15衛
住,,武陵路２７１巷００９３號#武陵路２７１巷９３號,透天厝,,,O,,,112/10/12,無,,全/二層,,35,8,2,1,0,24.82481178406897,120.96837241733486,無,,總價/總面積,,,bt_02.png,住家用,1,11,,2.23,aAT7RFLnxAoHxLi5y7/ohfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"680,000",1,O01,Biz,2,3房2廳2衛
住,,武陵路２７１巷００９３號#武陵路２７１巷９３號,透天厝,,,O,,,112/10/12,無,,全/二層,,35,9,2,1,0,24.82481178406897,120.96837241733486,無,,總價/總面積,,,bt_02.png,住家用,1,11,,2.23,2NtKFHbjLDroihxBdtJ2sfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"680,000",1,O01,Biz,2,3房2廳2衛
