longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,lower_floor,middle_floor,higher_floor,sale_floor_count,total_floor,price
120.97730657028774,24.820037270036572,32,26.41,1,0,1,112,3,2,2,1,False,False,True,False,0,0,0,0,0,0,1,5,9250000
121.01285720683475,24.790343317661282,25,32.96,1,1,1,112,2,2,1,1,False,False,False,True,0,0,0,0,0,0,1,29,8000000
120.96830564222645,24.77616553725652,19,15.26,1,1,0,112,1,1,1,1,False,False,True,False,0,1,0,0,0,0,1,4,4150000
120.93195892443121,24.838812010223393,28,60.74,0,0,0,112,5,2,4,1,False,True,False,False,1,0,0,1,1,1,4,4,13550000
121.0254054226018,24.778577391903003,25,52.62,1,1,1,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,14,16600000
120.9503750815197,24.755665607330574,26,9.52,0,1,0,112,1,1,1,1,True,False,False,False,0,0,0,0,0,0,1,4,1100000
120.95065215361869,24.755096889870654,26,9.0,0,1,0,112,0,0,0,1,True,False,False,False,0,1,0,0,0,0,1,5,900000
120.95201633589282,24.755810605110213,22,90.38,0,0,0,112,0,0,0,1,False,True,False,False,1,0,0,1,1,1,4,4,10950000
120.96837241733486,24.82481178406897,35,2.23,0,0,0,112,3,2,2,1,False,True,False,False,1,0,0,1,1,1,2,2,680000
120.96837241733486,24.82481178406897,35,2.23,0,0,0,112,3,2,2,1,False,True,False,False,1,0,0,1,1,1,2,2,680000
120.95065215361869,24.755096889870654,26,8.87,0,1,0,112,1,1,1,1,True,False,False,False,0,1,0,0,0,0,1,5,1100000
120.97909615411561,24.766759577175925,44,30.62,0,0,0,112,5,1,3,1,False,True,False,False,1,0,0,1,1,1,2,2,4500000
120.99577653971662,24.80104273147553,23,42.72,1,1,0,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,12,14650000
120.92972171429406,24.788259817203347,16,8.65,1,1,0,112,0,0,0,1,False,False,True,False,0,0,0,0,0,0,1,6,1550000
120.9635699701956,24.77213769681219,33,24.0,1,1,0,112,2,2,1,1,False,False,True,False,0,0,0,0,0,0,1,7,3750000
121.01285720683475,24.790343317661282,25,46.68,1,1,1,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,29,25800000
120.9772207592413,24.802413413248573,10,6.75,0,0,0,112,0,0,0,0,False,True,False,False,1,0,0,1,1,1,1,1,13800000
120.93829866141688,24.803549057582376,49,31.18,0,0,0,112,6,1,6,1,False,True,False,False,1,0,0,1,1,1,2,2,7800000
120.99002979065482,24.801963382265825,9,57.4,1,1,1,112,4,2,2,0,False,False,False,True,0,0,0,0,0,0,1,15,26700000
120.95850407132032,24.81051709322911,29,41.64,1,1,1,112,3,2,2,0,False,False,False,True,0,0,0,0,0,0,1,11,7700000
120.96505199692177,24.812008483602227,26,9.02,1,1,0,112,0,0,0,0,False,False,False,True,0,0,0,0,0,0,1,12,1950000
121.00781332979783,24.792004933561245,9,42.04,1,1,1,112,2,2,1,1,False,False,False,True,0,0,0,0,0,0,1,14,19500000
120.96830564222645,24.77616553725652,19,25.57,1,1,1,112,1,1,1,1,False,False,True,False,0,1,0,0,0,0,1,4,6300000
120.95142678742906,24.797134549994365,28,32.36,1,1,0,112,3,2,2,1,False,False,True,False,0,0,0,0,0,0,1,10,8300000
120.96178092541373,24.80176924045228,16,11.44,1,1,0,112,1,1,1,0,False,False,True,False,0,0,0,0,0,0,1,10,5550000
120.95754269755288,24.816015245918624,17,58.81,0,0,0,112,4,2,6,1,False,True,False,False,1,0,0,1,1,1,4,4,17400000
120.96624943229403,24.810094695361947,17,10.61,1,1,0,112,0,0,0,1,False,False,False,True,0,0,0,0,0,0,1,11,3100000
120.9772292204551,24.810241232794404,26,48.02,0,0,0,112,3,2,2,0,False,True,False,False,1,0,0,1,1,1,2,2,29800000
121.00839699006924,24.793982182925685,8,39.52,1,1,1,112,2,2,1,1,False,False,True,False,0,0,0,0,0,0,1,10,16300000
120.967287871392,24.81082624130781,24,106.72,1,1,2,112,5,2,3,1,False,False,False,True,0,0,0,0,0,0,1,13,30000000
120.92972171429406,24.788259817203347,16,8.74,1,1,1,112,1,1,1,1,False,False,True,False,0,0,0,0,0,0,1,6,1350000
120.96379949920893,24.79902503062773,28,29.63,1,1,0,112,2,1,1,1,False,False,False,True,0,0,0,0,0,0,1,14,5000000
120.96875086355446,24.814781085852196,52,7.83,0,0,0,112,3,2,2,1,False,True,False,False,1,0,0,1,1,1,2,2,1800000
120.95279043850091,24.800475578841414,4,58.78,1,1,2,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,12,17000000
120.97821729255145,24.816543350031335,16,57.72,1,0,3,112,6,2,8,1,False,True,False,False,1,0,0,1,1,1,5,5,13972000
120.96311753023052,24.797336524724813,23,13.04,1,1,0,112,1,1,1,1,False,False,False,True,0,0,0,0,0,0,1,14,4090000
120.9337377198115,24.842803425810924,28,35.44,1,1,0,112,6,1,6,1,False,False,True,False,0,0,0,0,0,0,1,5,5800000
121.01130469899294,24.7930700971635,47,20.83,0,0,0,112,5,2,1,1,False,True,False,False,1,0,0,1,1,1,2,2,13000000
120.93398711191385,24.745529101415347,29,55.53,0,1,0,112,5,2,3,1,False,True,False,False,1,0,0,1,1,1,4,4,7800000
120.97609951202911,24.82093091844616,30,40.47,1,1,1,112,2,2,1,1,False,False,True,False,0,0,0,0,0,0,1,8,6780000
120.96042610196241,24.80097437038492,26,103.48,1,1,2,112,0,0,0,0,False,False,False,True,0,0,0,0,0,0,1,14,15000000
120.96042610196241,24.80097437038492,26,182.5,1,1,0,112,0,0,0,0,False,False,False,True,0,0,0,0,0,0,1,14,25000000
120.94287371078313,24.835105831006214,2,66.99,1,1,2,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,15,17500000
120.97599058569892,24.821490666216526,28,43.75,1,1,1,112,2,2,1,1,False,False,True,False,0,0,0,0,0,0,1,5,12200000
120.98536026865123,24.809899149292992,10,69.7,1,1,2,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,15,29450000
120.92939658337735,24.838449678831175,5,32.18,1,1,1,112,2,1,1,1,False,False,False,True,0,0,0,0,0,0,1,15,9300000
120.92888090518457,24.84053503192956,5,25.69,1,1,0,112,2,2,1,1,False,False,True,False,0,0,0,0,0,0,1,10,8350000
120.96759153658277,24.822283599847616,25,58.05,1,1,1,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,21,15660000
120.96147018035924,24.815104414943868,27,10.53,1,1,0,112,1,1,1,1,False,False,False,True,0,0,0,0,0,0,1,14,3350000
120.94703906166778,24.83487261205569,8,52.86,1,1,1,112,3,2,2,1,False,False,True,False,0,0,0,0,0,0,1,8,16600000
120.90566799176621,24.75067836092475,25,34.98,1,1,1,112,3,2,2,0,False,False,True,False,0,0,0,0,0,0,1,5,6600000
120.90566799176621,24.75067836092475,25,34.11,1,1,1,112,3,2,2,0,False,False,True,False,0,0,0,0,0,0,1,5,6900000
120.90566799176621,24.75067836092475,25,69.09,1,1,2,112,2,2,2,0,False,False,True,False,0,0,0,0,0,0,1,5,13000000
120.90566799176621,24.75067836092475,25,34.02,1,1,1,112,3,2,2,0,False,False,True,False,0,0,0,0,0,0,1,5,6760000
120.90566799176621,24.75067836092475,25,34.02,1,1,1,112,3,2,2,0,False,False,True,False,0,0,0,0,0,0,1,5,8500000
120.90566799176621,24.75067836092475,25,33.26,1,1,1,112,3,2,2,0,False,False,True,False,0,0,0,0,0,0,1,5,6680000
120.96339052778359,24.81076213564231,15,25.36,1,1,1,112,1,1,1,1,False,False,False,True,0,0,0,0,0,0,1,11,8880000
121.0122937409576,24.793115163955886,9,55.22,1,1,1,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,28,28200000
120.97731649646525,24.76546822281312,29,17.98,1,1,0,112,3,2,2,1,False,False,True,False,0,0,0,0,0,0,1,5,5000000
120.97362580367351,24.82358491018132,31,10.85,1,1,0,112,1,1,1,1,False,False,True,False,0,0,0,0,0,0,1,7,3700000
120.9610504110049,24.79720959569006,25,25.56,1,0,0,112,2,2,1,1,False,False,False,True,0,0,0,0,0,0,1,12,6780000
121.00901026500098,24.794912084654595,28,38.63,1,1,1,112,3,2,2,1,False,False,True,False,0,0,0,0,0,0,1,7,13950000
120.9776431121224,24.763761859590716,26,46.58,1,1,1,112,4,2,2,1,False,False,True,False,0,0,0,0,0,0,1,10,8500000
120.96819496083258,24.822401105771586,23,34.79,1,1,0,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,20,9860000
120.96557227442699,24.826454375145513,3,46.18,1,1,1,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,11,16800000
120.96720580478681,24.821967517354913,25,35.31,1,1,0,112,3,2,2,1,False,False,False,True,0,0,0,0,0,0,1,22,9000000
121.00236386269249,24.796393040707173,16,10.9,1,1,0,112,0,0,0,1,False,False,True,False,0,0,0,0,0,0,1,6,6460000
120.99512365093243,24.803146383035855,17,66.3,1,1,2,112,4,2,2,1,False,False,False,True,0,0,0,0,0,0,1,13,27720000
