Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Elevator,Janitor,Parking-Space,Closing-Date,Price,Bedroom,Living Room,Bathroom
120.96830564222644,24.77616553725652,19,15.26,華廈(10層含以下有電梯),住家用,地下三層/四層,有,有,0,112/10/02,"4,150,000",1,1,1
120.9319589244312,24.838812010223396,28,60.74,透天厝,住家用,全/四層,無,無,0,112/10/01,"13,550,000",5,2,4
120.95582572830943,24.803961546515872,17,61.08,住宅大樓(11層含以上有電梯),住家用,五層/十三層,有,有,1,112/09/03,"20,400,000",4,2,2
120.92908871805813,24.84047192803281,10,26.28,住宅大樓(11層含以上有電梯),住家用,十層/十一層,有,有,0,112/09/02,"7,400,000",2,2,1
120.96321100447176,24.815745893877,15,67.78,住宅大樓(11層含以上有電梯),住家用,七層/二十六層,有,有,1,112/09/01,"21,000,000",4,2,2
120.95065215361868,24.755096889870654,26,17.74,公寓(5樓含以下無電梯),住家用,四層/五層,無,無,0,112/09/21,"760,000",1,1,1
120.96675219270654,24.81653221192468,26,44.97,華廈(10層含以下有電梯),住家用,七層/七層,有,有,1,112/09/14,"11,220,000",3,2,2
120.94281310006733,24.8378234024342,29,34.79,華廈(10層含以下有電梯),住家用,三層/七層,有,有,0,112/09/01,"7,350,000",3,2,2
121.0038475426497,24.799119649248365,44,22.60,公寓(5樓含以下無電梯),住家用,四層/四層,無,無,0,112/09/18,"6,650,000",3,2,1
120.95152489063916,24.79920213692964,16,26.33,住宅大樓(11層含以上有電梯),住家用,六層/十五層,有,有,0,112/09/02,"9,000,000",2,1,1
120.92891515581864,24.83253572816453,3,42.78,住宅大樓(11層含以上有電梯),住家用,三層/十五層,有,有,1,112/09/15,"11,000,000",2,2,2
120.9851424734302,24.811388860240687,12,60.87,住宅大樓(11層含以上有電梯),辦公用,四層/十四層,有,有,2,112/09/08,"26,290,000",4,2,2
121.01805864228452,24.784898516070896,15,16.99,住宅大樓(11層含以上有電梯),辦公用,五層/十三層,有,有,1,112/09/17,"7,000,000",0,0,0
120.97653919472238,24.797510765834257,36,32.00,公寓(5樓含以下無電梯),住家用,五層/五層,無,無,0,112/09/02,"7,600,000",3,2,2
120.9283015560148,24.832887549211694,10,64.11,透天厝,住商用,全/四層,無,無,0,112/09/11,"10,500,000",3,3,3
120.96179853841042,24.808847674434453,15,13.52,華廈(10層含以下有電梯),辦公用,五層/十層,有,有,1,112/09/07,"5,800,000",1,1,1
120.97787523088452,24.793068888835595,50,26.47,透天厝,住家用,全/二層,無,無,0,112/09/07,"8,500,000",4,2,2
120.97772209787712,24.81980259466053,32,11.41,華廈(10層含以下有電梯),住家用,三層/五層,有,有,0,112/09/15,"3,020,000",1,1,1
121.01459813578164,24.79257323470499,3,50.42,住宅大樓(11層含以上有電梯),住家用,十五層/二十一層,有,有,1,112/09/07,"25,500,000",3,2,2
121.00969184535371,24.783770702269464,35,45.62,透天厝,住家用,全/二層,無,無,0,112/09/18,"20,000,000",6,3,3
120.95207024816216,24.795663098145745,28,35.62,華廈(10層含以下有電梯),住家用,二層/七層,有,有,1,112/09/20,"9,550,000",3,2,2
121.00789236757768,24.790668689162374,29,37.01,華廈(10層含以下有電梯),住家用,二層/六層,有,有,1,112/09/07,"12,700,000",3,2,2
120.97129691019104,24.79837660176166,29,25.24,華廈(10層含以下有電梯),住家用,六層/十層,有,有,0,112/09/02,"6,500,000",2,1,1
120.9281216792871,24.83599330168577,6,55.45,透天厝,住商用,全/三層,無,無,0,112/09/14,"17,700,000",3,3,4
120.95169139809192,24.80342757563604,45,37.64,透天厝,住商用,全/二層,無,無,0,112/09/20,"15,200,000",6,2,4
120.98591750081538,24.780709643141464,44,30.63,透天厝,住家用,全/二層,無,無,0,112/09/08,"7,000,000",4,2,3
120.9775143870121,24.7647640092935,29,11.91,華廈(10層含以下有電梯),住家用,五層/七層,有,有,0,112/09/01,"2,700,000",0,0,0
