longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
120.9773066,24.82003727,32,26.41,1,0,1,112,3,2,2,1,0,0,1,0,0,0,0,3,5,9250000
121.0128572,24.79034332,25,32.96,1,1,1,112,2,2,1,1,0,0,0,1,0,0,0,22,29,8000000
120.9683056,24.77616554,19,15.26,1,1,0,112,1,1,1,1,0,0,1,0,0,1,0,0,4,4150000
120.9319589,24.83881201,28,60.74,0,0,0,112,5,2,4,1,0,1,0,0,1,0,0,0,4,13550000
121.0254054,24.77857739,25,52.62,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,7,14,16600000
120.9503751,24.75566561,26,9.52,0,1,0,112,1,1,1,1,1,0,0,0,0,0,0,3,4,1100000
120.9520163,24.75581061,22,90.38,0,0,0,112,0,0,0,1,0,1,0,0,1,0,0,0,4,10950000
120.9506522,24.75509689,26,9,0,1,0,112,0,0,0,1,1,0,0,0,0,1,0,0,5,900000
120.9683724,24.82481178,35,2.23,0,0,0,112,3,2,2,1,0,1,0,0,1,0,0,0,2,680000
120.9683724,24.82481178,35,2.23,0,0,0,112,3,2,2,1,0,1,0,0,1,0,0,0,2,680000
120.9506522,24.75509689,26,8.87,0,1,0,112,1,1,1,1,1,0,0,0,0,1,0,0,5,1100000
120.9790962,24.76675958,44,30.62,0,0,0,112,5,1,3,1,0,1,0,0,1,0,0,0,2,4500000
120.9957765,24.80104273,23,42.72,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,5,12,14650000
120.9297217,24.78825982,16,8.65,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,5,6,1550000
120.96357,24.7721377,33,24,1,1,0,112,2,2,1,1,0,0,1,0,0,0,0,2,7,3750000
120.9575427,24.81601525,17,58.81,0,0,0,112,4,2,6,1,0,1,0,0,1,0,0,0,4,17400000
120.9662494,24.8100947,17,10.61,1,1,0,112,0,0,0,1,0,0,0,1,0,0,0,6,11,3100000
120.9772292,24.81024123,26,48.02,0,0,0,112,3,2,2,0,0,1,0,0,1,0,0,0,2,29800000
121.008397,24.79398218,8,39.52,1,1,1,112,2,2,1,1,0,0,1,0,0,0,0,4,10,16300000
120.9527904,24.80047558,4,58.78,1,1,2,112,3,2,2,1,0,0,0,1,0,0,0,12,12,17000000
120.9672879,24.81082624,24,106.72,1,1,2,112,5,2,3,1,0,0,0,1,0,0,0,8,13,30000000
120.9297217,24.78825982,16,8.74,1,1,1,112,1,1,1,1,0,0,1,0,0,0,0,5,6,1350000
120.9637995,24.79902503,28,29.63,1,1,0,112,2,1,1,1,0,0,0,1,0,0,0,11,14,5000000
120.9687509,24.81478109,52,7.83,0,0,0,112,3,2,2,1,0,1,0,0,1,0,0,0,2,1800000
120.9337377,24.84280343,28,35.44,1,1,0,112,6,1,6,1,0,0,1,0,0,0,0,4,5,5800000
121.0113047,24.7930701,47,20.83,0,0,0,112,5,2,1,1,0,1,0,0,1,0,0,0,2,13000000
120.9782173,24.81654335,16,57.72,1,0,3,112,6,2,8,1,0,1,0,0,1,0,0,0,5,13972000
120.9631175,24.79733652,23,13.04,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,9,14,4090000
121.0128572,24.79034332,25,46.68,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,18,29,25800000
120.9772208,24.80241341,10,6.75,0,0,0,112,0,0,0,0,0,1,0,0,1,0,0,0,1,13800000
120.9382987,24.80354906,49,31.18,0,0,0,112,6,1,6,1,0,1,0,0,1,0,0,0,2,7800000
120.9900298,24.80196338,9,57.4,1,1,1,112,4,2,2,0,0,0,0,1,0,0,0,14,15,26700000
120.9585041,24.81051709,29,41.64,1,1,1,112,3,2,2,0,0,0,0,1,0,0,0,4,11,7700000
120.965052,24.81200848,26,9.02,1,1,0,112,0,0,0,0,0,0,0,1,0,0,0,12,12,1950000
